yyyymm,MD,D12,E12,B/M,TBL,AAA,BAA,LTY,NTIS,RFREE,INFL,LTR,CORPR,SVAR
201501,3.5501,39.8933,101.29,0.336168763,0.0003,0.0346,0.0445,0.0204,0.000212996,0.000025,-0.00638575,0.0709,0.0599,0.002226648
201502,3.5502,40.3467,100.27,0.318227291,0.0002,0.0361,0.0451,0.0216,-0.003759885,1.67E-05,0.001962086,-0.0523,-0.032,0.00081352
201503,3.5501,40.8,99.25,0.307454045,0.0003,0.0364,0.0454,0.0223,-0.006899835,0.000025,0.001886031,0.0137,0.0058,0.00172038
201504,3.5588,41.11,97.8033,0.30634421,0.0002,0.0352,0.0448,0.0214,-0.007086677,1.67E-05,0.00143306,-0.025,-0.0223,0.000574338
201505,3.5589,41.42,96.3567,0.303449953,0.0002,0.0398,0.0489,0.0245,-0.007505575,1.67E-05,0.002874719,-0.0159,-0.0204,0.000887003
201506,3.5588,41.73,94.91,0.310186833,0.0002,0.0419,0.0513,0.0261,-0.008097526,1.67E-05,0.002309225,-0.0298,-0.032,0.001052136
201507,3.5735,41.9867,93.4933,0.308953265,0.0003,0.0415,0.052,0.0255,-0.008067086,0.000025,0.001309898,0.0329,0.0239,0.001159778
201508,3.5735,42.2433,92.0767,0.330670987,0.0007,0.0404,0.0519,0.0236,-0.00953174,5.83E-05,-0.000130398,0.0012,-0.0067,0.005846996
201509,3.5735,42.5,90.66,0.335611955,0.0002,0.0407,0.0534,0.024,-0.012905703,1.67E-05,-0.000900283,0.0174,0.0133,0.004053479
201510,3.7775,42.7933,89.2833,0.309413628,0.0002,0.0395,0.0534,0.0229,-0.016204616,1.67E-05,0.001936932,-0.0053,0.002,0.001618901
201511,3.7775,43.0867,87.9067,0.308429158,0.0012,0.0406,0.0546,0.0248,-0.017806062,0.0001,0.001483511,-0.0065,0.002,0.001118722
201512,3.7775,43.38,86.53,0.313648814,0.0023,0.0397,0.0546,0.0243,-0.021606187,0.000191667,-0.001095249,-0.0022,0,0.002838566
