yyyymm,log(DE),SVAR,B/M,NTIS,TBL,LTY,LTR,TMS,DFY,DFR,INFL
201501,-0.404666245,0.002226648,0.336168763,0.000212996,0.0003,0.0204,0.0709,0.0201,-0.0099,-0.011,-0.00335917
201502,-0.395363355,0.000813519,0.318227291,-0.003759885,0.0002,0.0216,-0.0523,0.0214,-0.009,0.0203,-0.00638575
201503,-0.386070352,0.00172038,0.307454045,-0.006899835,0.0003,0.02225,0.0137,0.02195,-0.009,-0.0079,0.001962086
201504,-0.37640618,0.000574338,0.30634421,-0.007086677,0.0002,0.02135,-0.025,0.02115,-0.0096,0.0027,0.001886031
201505,-0.366671673,0.000887003,0.303449953,-0.007505574,0.0002,0.02445,-0.0159,0.02425,-0.0091,-0.0045,0.00143306
201506,-0.356863589,0.001052136,0.310186833,-0.008097526,0.0002,0.02605,-0.0298,0.02585,-0.0094,-0.0022,0.002874719
201507,-0.347669247,0.001159778,0.308953265,-0.008067086,0.0003,0.02545,0.0329,0.02515,-0.0105,-0.009,0.002309225
201508,-0.338391409,0.005846996,0.330670987,-0.00953174,0.0007,0.0236,0.0012,0.0229,-0.0115,-0.0079,0.001309898
201509,-0.329026785,0.004053479,0.335611955,-0.012905703,0.0002,0.02395,0.0174,0.02375,-0.0127,-0.0041,-0.000130398
201510,-0.319394279,0.001618901,0.309413628,-0.016204616,0.0002,0.02285,-0.0053,0.02265,-0.0139,0.0073,-0.000900283
201511,-0.309678915,0.001118721,0.308429158,-0.017806062,0.0012,0.02475,-0.0065,0.02355,-0.014,0.0085,0.001936932
201512,-0.299877156,0.002838565,0.313648814,-0.021606187,0.0023,0.02425,-0.0022,0.02195,-0.0149,0.0022,0.001483511
